model_type,train_protocol,eval_profile,eval_protocol,n_seeds_total,n_anomaly_excluded,n_rollout_diverged,n_seeds_used,posmed_mean_of_seed_medians,posmed_median_of_seed_medians,posmed_min,posmed_max,posp95_mean_of_seed_p95s,posp95_median_of_seed_p95s,posp95_max,worst_seed,completion_mean,n_rollout_collapsed_all_seeds,excluded_seeds,excluded_seed_posmed,diverged_seeds,diverged_seed_posmed,diverged_completion
ablate_no_lift,clean,clean,clean,5,1,0,4,0.8288,0.6958,0.5262,1.3974,2.1538,2.0724,3.1915,46,0.9861,1,43,44.3802,,,
ablate_no_lift,clean,degraded_eval,iid_noisy_ic,5,1,0,4,1.7711,1.7714,1.6253,1.9162,6.0103,5.5,7.6668,44,0.9861,1,43,44.4484,,,
ablate_no_lift,clean,heading_biased_eval,iid_noisy_ic,5,1,0,4,3.0661,3.0583,2.9087,3.2391,5.2822,5.2764,5.7726,46,0.9861,1,43,45.2051,,,
ablate_no_lift,clean,nominal_eval,iid_noisy_ic,5,1,0,4,1.0508,0.9409,0.8114,1.5102,3.1692,2.7346,4.6293,46,0.9861,1,43,44.4952,,,
ablate_no_lift,clean,nominal_eval,v4_lite,5,1,0,4,1.0028,0.8933,0.7324,1.492,2.6796,2.4505,3.7774,46,0.9861,1,43,44.3930,,,
ablate_no_lift,iid,clean,clean,5,0,0,5,0.8291,0.89,0.6618,0.9557,2.742,2.5996,3.5803,46,0.9822,0,,,,,
ablate_no_lift,iid,degraded_eval,iid_noisy_ic,5,0,0,5,1.8616,1.8027,1.7914,2.057,5.733,5.7288,5.8604,46,0.9822,0,,,,,
ablate_no_lift,iid,heading_biased_eval,iid_noisy_ic,5,0,0,5,3.1667,3.1775,3.0374,3.2878,5.4201,5.1922,5.9994,42,0.9822,0,,,,,
ablate_no_lift,iid,nominal_eval,iid_noisy_ic,5,0,0,5,1.0043,1.0093,0.8266,1.1047,3.4515,3.1251,4.2513,46,0.9822,0,,,,,
ablate_no_lift,iid,nominal_eval,v4_lite,5,0,0,5,1.0551,1.0417,0.9885,1.1342,3.0847,3.2832,3.4581,46,0.9822,0,,,,,
