mirror,model_type,train_type,eval_profile,cell_status,n_seeds_total,n_ok,n_rollout_diverged,n_env_drift_excluded,posmed_mean_of_seed_medians,posmed_median_of_seed_medians,posmed_min,posmed_max,posp95_mean_of_seed_p95s,posp95_median_of_seed_p95s,within_mirror_baseline_m,degradation_multiplier_mean,diverged_seeds,diverged_seed_values,env_drift_seeds
g3_5_5,ablate_diag_damping,clean_train,clean,ok,6,6,0,0,4.1659,4.5391,0.6908,5.6922,10.2901,11.3472,0.6098,6.83,,,
g3_5_5,ablate_bu_only,clean_train,clean,stability_failure,6,0,6,0,,,,,,,0.6098,,42;43;44;45;46;47,23.08;18.36;23.85;53.77;22.52;25.20,
g3_5_5,phnode_merged_force,clean_train,clean,ok,3,3,0,0,1.4991,1.5026,1.3713,1.6233,4.1611,4.293,0.6098,2.46,,,
g3_5_5,blackbox_fullstate,noisy_train,clean,stability_failure,3,0,3,0,,,,,,,0.6098,,43;44;45,nan;147.87;nan,
g3_5_5,blackbox_fullstate,noisy_train,nominal_eval,stability_failure,3,0,3,0,,,,,,,0.6098,,43;44;45,nan;148.30;nan,
g3_5_5,blackbox_fullstate,noisy_train,degraded_eval,stability_failure,3,0,3,0,,,,,,,0.6098,,43;44;45,nan;148.79;nan,
g3_5_5,blackbox_fullstate,noisy_train,heading_biased_eval,stability_failure,3,0,3,0,,,,,,,0.6098,,43;44;45,nan;147.81;nan,
g3_5_5,se3_momentum_blackbox,noisy_train,clean,ok,3,3,0,0,1.7862,1.4625,1.1405,2.7556,4.4555,4.1891,0.6098,,,,
g3_5_5,se3_momentum_blackbox,noisy_train,nominal_eval,ok,3,3,0,0,2.0076,1.6892,1.2746,3.059,5.2796,4.8244,0.6098,,,,
g3_5_5,se3_momentum_blackbox,noisy_train,degraded_eval,ok,3,3,0,0,2.6532,2.3791,1.8908,3.6898,7.3799,6.7725,0.6098,,,,
g3_5_5,se3_momentum_blackbox,noisy_train,heading_biased_eval,ok,3,3,0,0,3.3008,3.2842,3.1856,3.4327,7.4323,6.4686,0.6098,,,,
g3_5_5,se3_accel_blackbox,noisy_train,clean,ok,3,3,0,0,5.4556,5.7044,3.8452,6.8173,22.8542,27.6907,0.6098,,,,
g3_5_5,se3_accel_blackbox,noisy_train,nominal_eval,ok,3,3,0,0,5.6136,5.9007,3.7266,7.2136,22.9521,27.8172,0.6098,,,,
g3_5_5,se3_accel_blackbox,noisy_train,degraded_eval,ok,3,3,0,0,6.0689,6.6732,4.0715,7.4621,23.2375,28.5408,0.6098,,,,
g3_5_5,se3_accel_blackbox,noisy_train,heading_biased_eval,ok,3,3,0,0,5.9671,6.3307,4.3502,7.2204,23.4057,27.4422,0.6098,,,,
