model_type,seed,max_so3_orth_error,energy_span_median_60s,energy_defined,energy_excluded
phnode_full,42,1.4087424460740294e-05,18.295513153076172,1,0
phnode_full,43,1.3173768820706755e-05,17.34518814086914,1,0
phnode_full,44,1.229793815582525e-05,17.828392028808594,1,0
phnode_full,45,1.2614788829523604e-05,20.253657341003418,1,0
phnode_full,46,1.3266856512927916e-05,15.391408920288086,1,0
ablate_no_lift,42,1.2313311344769318e-05,18.291797637939453,1,0
ablate_no_lift,43,6.5035337684093975e-06,29.54552936553955,1,1
ablate_no_lift,44,1.2565527867991477e-05,19.969064712524414,1,0
ablate_no_lift,45,1.2233572306286078e-05,19.0185489654541,1,0
ablate_no_lift,46,1.279399930353975e-05,10.892237663269043,1,0
ablate_no_mass_prior,42,1.2123795386287384e-05,1.8604604005813599,1,0
ablate_no_mass_prior,43,1.2697370948444586e-05,1.8551051616668701,1,0
ablate_no_mass_prior,44,1.0861977898457553e-05,1.9401254653930664,1,0
ablate_no_mass_prior,45,1.1319521945551969e-05,2.0837244987487793,1,0
ablate_no_mass_prior,46,1.0494534762983676e-05,1.8526546359062195,1,0
se3_momentum_blackbox,42,1.1570303286134731e-05,,0,0
se3_momentum_blackbox,43,1.186791905638529e-05,,0,0
se3_momentum_blackbox,44,1.237989908986492e-05,,0,0
se3_momentum_blackbox,45,1.1244704182900023e-05,,0,0
se3_momentum_blackbox,46,1.2440586033335421e-05,,0,0
se3_accel_blackbox,42,6.799425591452746e-06,,0,0
se3_accel_blackbox,43,1.2092369615857024e-05,,0,0
se3_accel_blackbox,44,1.2280442206247244e-05,,0,0
se3_accel_blackbox,45,1.4146599824016448e-05,,0,0
se3_accel_blackbox,46,1.4228878171707038e-05,,0,0
phnode_qforce,42,0.00024344594567082822,,0,0
phnode_qforce,43,0.00021281387307681143,,0,0
phnode_qforce,44,0.0002443054399918765,,0,0
phnode_qforce,45,0.0003397490654606372,,0,0
phnode_qforce,46,0.00024058368580881506,,0,0
blackbox_fullstate,42,145.92164611816406,,0,0
blackbox_fullstate,43,16.917919158935547,,0,0
blackbox_fullstate,44,nan,,0,0
blackbox_fullstate,45,18.391437530517578,,0,0
blackbox_fullstate,46,nan,,0,0
