model_type,horizon_s,posmed_mean_of_seed_medians,posmed_median_of_seed_medians,posp95_mean_of_seed_p95s,n_seeds_used,n_rollout_diverged,n_seeds_total,cell_status
phnode_full,10.0,0.0831,0.0801,0.2068,5,0,5,ok
phnode_full,30.0,0.2716,0.2275,0.6361,5,0,5,ok
phnode_full,60.0,0.6767,0.611,1.7741,5,0,5,ok
ablate_no_lift,10.0,0.0836,0.0729,0.1821,4,0,5,ok
ablate_no_lift,30.0,0.2818,0.2422,0.7151,4,0,5,ok
ablate_no_lift,60.0,0.8288,0.6958,2.1538,4,0,5,ok
ablate_no_mass_prior,10.0,0.1474,0.1271,0.2742,5,0,5,ok
ablate_no_mass_prior,30.0,0.5407,0.5473,1.4772,5,0,5,ok
ablate_no_mass_prior,60.0,1.2966,1.312,4.3103,5,0,5,ok
se3_momentum_blackbox,10.0,0.1559,0.1653,0.3694,5,0,5,ok
se3_momentum_blackbox,30.0,0.5319,0.5116,1.4082,5,0,5,ok
se3_momentum_blackbox,60.0,1.4879,1.4476,3.858,5,0,5,ok
se3_accel_blackbox,10.0,0.2159,0.1338,0.6931,5,0,5,ok
se3_accel_blackbox,30.0,0.808,0.5765,3.2442,5,0,5,ok
se3_accel_blackbox,60.0,2.4555,1.6387,9.0362,5,0,5,ok
phnode_qforce,10.0,0.5017,0.5691,2.1439,5,0,5,ok
phnode_qforce,30.0,1.7256,1.9448,4.0895,5,0,5,ok
phnode_qforce,60.0,3.7564,4.1847,11.2481,5,0,5,ok
blackbox_fullstate,10.0,,,,0,5,5,stability_failure
blackbox_fullstate,30.0,,,,0,5,5,stability_failure
blackbox_fullstate,60.0,,,,0,5,5,stability_failure
