model_type,eval_profile,posmed_mean_of_seed_medians,posmed_median_of_seed_medians,posp95_mean_of_seed_p95s,n_seeds_used,n_rollout_diverged,n_seeds_total,cell_status
phnode_full,clean,0.6767,0.611,1.7741,5,0,5,ok
phnode_full,nominal_eval,0.9604,0.8203,2.864,5,0,5,ok
phnode_full,degraded_eval,1.7574,1.6819,5.5031,5,0,5,ok
phnode_full,heading_biased_eval,3.1257,3.1194,5.0895,5,0,5,ok
ablate_no_lift,clean,0.8288,0.6958,2.1538,4,0,5,ok
ablate_no_lift,nominal_eval,1.0508,0.9409,3.1692,4,0,5,ok
ablate_no_lift,degraded_eval,1.7711,1.7714,6.0103,4,0,5,ok
ablate_no_lift,heading_biased_eval,3.0661,3.0583,5.2822,4,0,5,ok
ablate_no_mass_prior,clean,1.2966,1.312,4.3103,5,0,5,ok
ablate_no_mass_prior,nominal_eval,1.4163,1.5033,4.6889,5,0,5,ok
ablate_no_mass_prior,degraded_eval,2.0436,2.0196,6.8116,5,0,5,ok
ablate_no_mass_prior,heading_biased_eval,3.1022,3.1368,6.6018,5,0,5,ok
se3_momentum_blackbox,clean,1.4879,1.4476,3.858,5,0,5,ok
se3_momentum_blackbox,nominal_eval,1.6172,1.487,4.713,5,0,5,ok
se3_momentum_blackbox,degraded_eval,2.1252,2.085,6.4962,5,0,5,ok
se3_momentum_blackbox,heading_biased_eval,3.0026,3.0551,6.6618,5,0,5,ok
se3_accel_blackbox,clean,2.4555,1.6387,9.0362,5,0,5,ok
se3_accel_blackbox,nominal_eval,2.6209,1.8613,9.7402,5,0,5,ok
se3_accel_blackbox,degraded_eval,3.2001,2.5517,11.3202,5,0,5,ok
se3_accel_blackbox,heading_biased_eval,3.8279,3.1257,10.7638,5,0,5,ok
phnode_qforce,clean,3.7564,4.1847,11.2481,5,0,5,ok
phnode_qforce,nominal_eval,3.7428,3.8662,11.0504,5,0,5,ok
phnode_qforce,degraded_eval,4.002,4.262,10.9753,5,0,5,ok
phnode_qforce,heading_biased_eval,4.6263,4.9195,11.5876,5,0,5,ok
blackbox_fullstate,clean,,,,0,5,5,stability_failure
blackbox_fullstate,nominal_eval,,,,0,5,5,stability_failure
blackbox_fullstate,degraded_eval,,,,0,5,5,stability_failure
blackbox_fullstate,heading_biased_eval,,,,0,5,5,stability_failure
