model_type,seed,epoch,train_total,test_total,train_so3_orth,train_success_rate
phnode_full,42,1,4.35082,5.04584,1.25736e-07,1
phnode_full,42,2,3.58489,4.30459,1.19084e-07,1
phnode_full,42,3,2.95038,3.22102,1.16026e-07,1
phnode_full,42,4,1.78187,1.04357,1.20038e-07,1
phnode_full,42,5,0.771543,0.618566,1.292e-07,1
phnode_full,42,6,0.73271,0.729848,1.15262e-07,1
phnode_full,42,7,0.731893,0.702043,1.19014e-07,1
phnode_full,42,8,0.916459,1.36572,1.88019e-07,1
phnode_full,42,9,0.646708,0.429916,2.9295e-07,1
phnode_full,42,10,0.401015,0.322723,1.32061e-07,1
phnode_full,42,11,0.546104,0.763715,1.17364e-07,1
phnode_full,42,12,0.688518,1.33014,1.21779e-07,1
phnode_full,42,13,0.988365,1.70488,1.38661e-07,1
phnode_full,42,14,1.20107,1.12632,6.33881e-07,1
phnode_full,42,15,0.706571,0.418989,2.45922e-07,1
phnode_full,42,16,0.369992,0.414571,1.52459e-07,1
phnode_full,42,17,0.826307,127.982,4.08535e-07,1
phnode_full,42,18,9.82271,1.64716,1.35522e-05,1
phnode_full,42,19,0.90113,1.5542,1.21157e-07,1
phnode_full,42,20,0.645809,0.421241,1.17356e-07,1
phnode_full,42,21,0.498586,0.258559,1.14169e-07,1
phnode_full,42,22,1.10761,3.21833,1.18354e-07,1
phnode_full,42,23,1.00522,0.88541,1.37036e-07,1
phnode_full,42,24,0.517248,0.430192,1.27245e-07,1
phnode_full,42,25,0.421379,0.709244,1.14158e-07,1
phnode_full,42,26,0.739174,0.612786,1.16586e-07,1
phnode_full,42,27,0.557322,0.491485,1.13523e-07,1
phnode_full,42,28,0.409438,0.299905,1.13368e-07,1
phnode_full,42,29,0.33119,0.387841,1.13658e-07,1
phnode_full,42,30,0.296137,0.379767,1.13395e-07,1
phnode_full,42,31,0.266102,0.177938,1.13738e-07,1
phnode_full,42,32,0.34427,0.423771,1.14348e-07,1
phnode_full,42,33,0.294936,0.309514,1.13731e-07,1
phnode_full,42,34,0.309398,0.247172,1.13396e-07,1
phnode_full,42,35,0.245397,0.218804,1.13591e-07,1
phnode_full,42,36,0.254692,0.358874,1.14085e-07,1
phnode_full,42,37,0.183635,0.124695,1.13763e-07,1
phnode_full,42,38,0.202431,0.258751,1.14247e-07,1
phnode_full,42,39,0.193949,0.235792,1.14324e-07,1
phnode_full,42,40,0.274301,0.264866,1.1426e-07,1
phnode_full,42,41,0.202687,0.250048,1.14152e-07,1
phnode_full,42,42,0.379153,0.491647,1.14623e-07,1
phnode_full,42,43,0.209183,0.129216,1.13952e-07,1
phnode_full,42,44,0.315958,0.491383,1.14426e-07,1
phnode_full,42,45,0.371338,0.2878,1.13989e-07,1
phnode_full,42,46,0.381929,0.408017,1.1411e-07,1
phnode_full,42,47,0.207484,0.129669,1.14072e-07,1
phnode_full,42,48,0.270987,0.309302,1.1483e-07,1
phnode_full,42,49,0.17944,0.137533,1.14022e-07,1
phnode_full,42,50,0.117036,0.0916271,1.14507e-07,1
phnode_full,42,51,0.234576,0.198367,1.14548e-07,1
phnode_full,42,52,0.176016,0.224544,1.14563e-07,1
phnode_full,42,53,0.113983,0.101441,1.1443e-07,1
phnode_full,42,54,0.14875,0.178586,1.14819e-07,1
phnode_full,42,55,0.1538,0.113512,1.14294e-07,1
phnode_full,42,56,0.101993,0.12991,1.15021e-07,1
phnode_full,42,57,0.111974,0.129313,1.15278e-07,1
phnode_full,42,58,0.0847322,0.0806409,1.15782e-07,1
phnode_full,42,59,0.0869147,0.13275,1.16673e-07,1
phnode_full,42,60,0.219259,0.152934,1.15835e-07,1
phnode_full,42,61,0.160919,0.1048,1.14994e-07,1
phnode_full,42,62,0.0908947,0.0956883,1.16305e-07,1
phnode_full,42,63,0.0751136,0.0890476,1.16764e-07,1
phnode_full,42,64,0.0708564,0.0658956,1.16526e-07,1
phnode_full,42,65,0.0687144,0.0703239,1.16334e-07,1
phnode_full,42,66,0.0584927,0.106902,1.16198e-07,1
phnode_full,42,67,0.0756513,0.0879843,1.16232e-07,1
phnode_full,42,68,0.0878793,0.0807859,1.15735e-07,1
phnode_full,42,69,0.0651903,0.0682785,1.15836e-07,1
phnode_full,42,70,0.071615,0.107608,1.15663e-07,1
phnode_full,42,71,0.0669488,0.062039,1.15488e-07,1
phnode_full,42,72,0.0695015,0.0586499,1.1575e-07,1
phnode_full,42,73,0.0771239,0.0630355,1.15578e-07,1
phnode_full,42,74,0.0614041,0.059311,1.15349e-07,1
phnode_full,42,75,0.0568252,0.083078,1.15347e-07,1
phnode_full,42,76,0.0883648,0.0672738,1.15614e-07,1
phnode_full,42,77,0.0598743,0.0476189,1.15402e-07,1
phnode_full,42,78,0.0463625,0.044534,1.15596e-07,1
phnode_full,42,79,0.0711241,0.0455317,1.15637e-07,1
phnode_full,42,80,0.0447964,0.0543363,1.15645e-07,1
phnode_full,42,81,0.065072,0.0554005,1.15605e-07,1
phnode_full,42,82,0.0421362,0.039637,1.15528e-07,1
phnode_full,42,83,0.0361803,0.036724,1.15458e-07,1
phnode_full,42,84,0.0350259,0.0421959,1.15594e-07,1
phnode_full,42,85,0.0316168,0.0305683,1.15436e-07,1
phnode_full,42,86,0.036397,0.0329621,1.15622e-07,1
phnode_full,42,87,0.0292997,0.0250678,1.15664e-07,1
phnode_full,42,88,0.0272222,0.0262887,1.15762e-07,1
phnode_full,42,89,0.0236726,0.0164995,1.15808e-07,1
phnode_full,42,90,0.0210201,0.0241967,1.1597e-07,1
phnode_full,42,91,0.0167199,0.0136249,1.16249e-07,1
phnode_full,42,92,0.0115159,0.0110321,1.16434e-07,1
phnode_full,42,93,0.0113792,0.0139466,1.16549e-07,1
phnode_full,42,94,0.0194579,0.0163864,1.16484e-07,1
phnode_full,42,95,0.0168048,0.0117048,1.16248e-07,1
phnode_full,42,96,0.017272,0.010341,1.16513e-07,1
phnode_full,42,97,0.0153169,0.00942648,1.16451e-07,1
phnode_full,42,98,0.026895,0.0266103,1.16595e-07,1
phnode_full,42,99,0.0156508,0.0132854,1.16377e-07,1
phnode_full,42,100,0.011298,0.0155914,1.16603e-07,1
phnode_full,42,101,0.0133384,0.0177366,1.16606e-07,1
phnode_full,42,102,0.0138497,0.0151302,1.16539e-07,1
phnode_full,42,103,0.0138028,0.0150822,1.16623e-07,1
phnode_full,42,104,0.0135696,0.0170369,1.16413e-07,1
phnode_full,42,105,0.0127288,0.0112488,1.16503e-07,1
phnode_full,42,106,0.0124983,0.0179163,1.16332e-07,1
phnode_full,42,107,0.0120703,0.0114698,1.16622e-07,1
phnode_full,42,108,0.0110734,0.0113818,1.16597e-07,1
phnode_full,42,109,0.0105536,0.00991674,1.16563e-07,1
phnode_full,42,110,0.0102199,0.00973578,1.16839e-07,1
phnode_full,42,111,0.00950129,0.00880223,1.16568e-07,1
phnode_full,42,112,0.00957153,0.0103436,1.1662e-07,1
phnode_full,42,113,0.00848468,0.00874955,1.16848e-07,1
phnode_full,42,114,0.00654048,0.00572984,1.16777e-07,1
phnode_full,42,115,0.00560935,0.00543379,1.16873e-07,1
phnode_full,42,116,0.00776757,0.0390598,1.16682e-07,1
phnode_full,42,117,0.0301489,0.0211992,1.16767e-07,1
phnode_full,42,118,0.0120304,0.00751656,1.16489e-07,1
phnode_full,42,119,0.00681055,0.00605362,1.16608e-07,1
phnode_full,42,120,0.0056695,0.00561035,1.16771e-07,1
phnode_full,42,121,0.00694805,0.00886776,1.1681e-07,1
phnode_full,42,122,0.00722196,0.00645975,1.16848e-07,1
phnode_full,42,123,0.00822093,0.00758579,1.16703e-07,1
phnode_full,42,124,0.00819249,0.00960342,1.16738e-07,1
phnode_full,42,125,0.00793893,0.00815617,1.16792e-07,1
phnode_full,42,126,0.0078767,0.00845795,1.16524e-07,1
phnode_full,42,127,0.00770611,0.00844314,1.16717e-07,1
phnode_full,42,128,0.0076026,0.00585585,1.16668e-07,1
phnode_full,42,129,0.0074011,0.00693365,1.16641e-07,1
phnode_full,42,130,0.00711582,0.00678457,1.16722e-07,1
phnode_full,42,131,0.00704066,0.00728445,1.16979e-07,1
phnode_full,42,132,0.0065979,0.0090459,1.16942e-07,1
phnode_full,42,133,0.00662046,0.00623109,1.16853e-07,1
phnode_full,42,134,0.00517168,0.00493484,1.16709e-07,1
phnode_full,42,135,0.00457122,0.00472962,1.16814e-07,1
phnode_full,42,136,0.00445216,0.00459387,1.16935e-07,1
phnode_full,42,137,0.00444981,0.00460602,1.16897e-07,1
phnode_full,42,138,0.00439504,0.00467425,1.16769e-07,1
phnode_full,42,139,0.00440766,0.00468994,1.16972e-07,1
phnode_full,42,140,0.00436797,0.00454834,1.16926e-07,1
phnode_full,42,141,0.00432311,0.00447338,1.16931e-07,1
phnode_full,42,142,0.00432218,0.00452597,1.16872e-07,1
phnode_full,42,143,0.00430128,0.0045705,1.16978e-07,1
phnode_full,42,144,0.00431144,0.00450633,1.16885e-07,1
phnode_full,42,145,0.00428987,0.0044182,1.16914e-07,1
phnode_full,42,146,0.0042455,0.00440947,1.1711e-07,1
phnode_full,42,147,0.00427533,0.00457559,1.17046e-07,1
phnode_full,42,148,0.00428652,0.00462307,1.1688e-07,1
phnode_full,42,149,0.00425978,0.0046052,1.16835e-07,1
phnode_full,42,150,0.00424959,0.0043722,1.17009e-07,1
phnode_full,42,151,0.00419478,0.00443715,1.16924e-07,1
phnode_full,42,152,0.00420772,0.00433475,1.17063e-07,1
phnode_full,42,153,0.00419146,0.00445861,1.1701e-07,1
phnode_full,42,154,0.00417696,0.00443421,1.16986e-07,1
phnode_full,42,155,0.00423752,0.00439026,1.16958e-07,1
