model_type,train_protocol,eval_profile,eval_protocol,scope,horizon_s,n_seeds_total,n_anomaly_excluded,n_rollout_diverged,n_seeds_used,posmed_mean_of_seed_medians,posmed_median_of_seed_medians,posmed_min,posmed_max,posp95_mean_of_seed_p95s,posp95_median_of_seed_p95s,posp95_max,completion_mean,excluded_seeds,diverged_seeds
ablate_no_lift,clean,clean,clean,CHIRP,10.0,5,1,0,4,0.0848,0.0767,0.0545,0.1316,0.1459,0.131,0.223,,43,
ablate_no_lift,clean,clean,clean,CHIRP,30.0,5,1,0,4,0.2648,0.2404,0.1939,0.3843,0.5928,0.5624,0.7875,,43,
ablate_no_lift,clean,clean,clean,CHIRP,60.0,5,1,0,4,0.8016,0.6485,0.5155,1.3938,1.711,1.4282,2.7634,,43,
ablate_no_lift,clean,clean,clean,OU,10.0,5,1,0,4,0.1028,0.0982,0.0576,0.1571,0.2019,0.1893,0.2987,,43,
ablate_no_lift,clean,clean,clean,OU,30.0,5,1,0,4,0.3708,0.3195,0.2204,0.6238,0.8417,0.8089,1.1301,,43,
ablate_no_lift,clean,clean,clean,OU,60.0,5,1,0,4,1.0042,0.9429,0.721,1.4101,2.3976,2.1729,3.905,,43,
ablate_no_lift,clean,clean,clean,PRBS,10.0,5,1,0,4,0.0727,0.0637,0.0452,0.1184,0.1619,0.1342,0.2738,,43,
ablate_no_lift,clean,clean,clean,PRBS,30.0,5,1,0,4,0.2342,0.1902,0.122,0.4346,0.625,0.4668,1.1812,,43,
ablate_no_lift,clean,clean,clean,PRBS,60.0,5,1,0,4,0.7471,0.6155,0.3383,1.419,1.7345,1.4941,3.1371,,43,
ablate_no_lift,clean,clean,clean,overall,10.0,5,1,0,4,0.0836,0.0729,0.0521,0.1365,0.1821,0.1654,0.2742,,43,
ablate_no_lift,clean,clean,clean,overall,30.0,5,1,0,4,0.2818,0.2422,0.183,0.4599,0.7151,0.62,1.0933,,43,
