path,size_bytes,under_rollout_benchmark,referenced_by_tracked_doc,action,reason
checkpoints/smoke_v4lite/rollout_smoke_iid/smoke_iid_rollout_tiny_20260421_024733/clean/diagnostic_plots/rollout_failure_CHIRP_seed125.png,422910,0,0,keep,not under rollout_benchmark/
checkpoints/smoke_v4lite/rollout_smoke_iid/smoke_iid_rollout_tiny_20260421_024733/clean/diagnostic_plots/rollout_failure_PRBS_seed129.png,453069,0,0,keep,not under rollout_benchmark/
checkpoints/smoke_v4lite/rollout_smoke_iid/smoke_iid_rollout_tiny_20260421_024733/clean/error_growth.png,255933,0,0,keep,not under rollout_benchmark/
checkpoints/smoke_v4lite/rollout_smoke_iid/smoke_iid_rollout_tiny_20260421_024733/clean/example_rollouts.png,588149,0,0,keep,not under rollout_benchmark/
checkpoints/smoke_v4lite/rollout_smoke_iid/smoke_iid_rollout_tiny_20260421_024733/clean/terminal_error_boxplots.png,104011,0,0,keep,not under rollout_benchmark/
checkpoints/smoke_v4lite/rollout_smoke_iid/smoke_iid_rollout_tiny_20260421_024733/nominal_eval/diagnostic_plots/rollout_failure_CHIRP_seed125.png,420319,0,0,keep,not under rollout_benchmark/
checkpoints/smoke_v4lite/rollout_smoke_iid/smoke_iid_rollout_tiny_20260421_024733/nominal_eval/diagnostic_plots/rollout_failure_PRBS_seed129.png,463866,0,0,keep,not under rollout_benchmark/
checkpoints/smoke_v4lite/rollout_smoke_iid/smoke_iid_rollout_tiny_20260421_024733/nominal_eval/error_growth.png,260452,0,0,keep,not under rollout_benchmark/
checkpoints/smoke_v4lite/rollout_smoke_iid/smoke_iid_rollout_tiny_20260421_024733/nominal_eval/example_rollouts.png,587111,0,0,keep,not under rollout_benchmark/
checkpoints/smoke_v4lite/rollout_smoke_iid/smoke_iid_rollout_tiny_20260421_024733/nominal_eval/terminal_error_boxplots.png,120914,0,0,keep,not under rollout_benchmark/
checkpoints/smoke_v4lite/rollout_smoke_v4lite/smoke_v4lite_rollout_tiny_20260421_024757/clean/diagnostic_plots/rollout_failure_CHIRP_seed125.png,422032,0,0,keep,not under rollout_benchmark/
checkpoints/smoke_v4lite/rollout_smoke_v4lite/smoke_v4lite_rollout_tiny_20260421_024757/clean/diagnostic_plots/rollout_failure_PRBS_seed129.png,459044,0,0,keep,not under rollout_benchmark/
checkpoints/smoke_v4lite/rollout_smoke_v4lite/smoke_v4lite_rollout_tiny_20260421_024757/clean/error_growth.png,254238,0,0,keep,not under rollout_benchmark/
checkpoints/smoke_v4lite/rollout_smoke_v4lite/smoke_v4lite_rollout_tiny_20260421_024757/clean/example_rollouts.png,588146,0,0,keep,not under rollout_benchmark/
checkpoints/smoke_v4lite/rollout_smoke_v4lite/smoke_v4lite_rollout_tiny_20260421_024757/clean/terminal_error_boxplots.png,104453,0,0,keep,not under rollout_benchmark/
checkpoints/smoke_v4lite/rollout_smoke_v4lite/smoke_v4lite_rollout_tiny_20260421_024757/nominal_eval/diagnostic_plots/rollout_failure_CHIRP_seed125.png,448737,0,0,keep,not under rollout_benchmark/
checkpoints/smoke_v4lite/rollout_smoke_v4lite/smoke_v4lite_rollout_tiny_20260421_024757/nominal_eval/diagnostic_plots/rollout_failure_PRBS_seed129.png,452516,0,0,keep,not under rollout_benchmark/
checkpoints/smoke_v4lite/rollout_smoke_v4lite/smoke_v4lite_rollout_tiny_20260421_024757/nominal_eval/error_growth.png,266564,0,0,keep,not under rollout_benchmark/
checkpoints/smoke_v4lite/rollout_smoke_v4lite/smoke_v4lite_rollout_tiny_20260421_024757/nominal_eval/example_rollouts.png,562331,0,0,keep,not under rollout_benchmark/
checkpoints/smoke_v4lite/rollout_smoke_v4lite/smoke_v4lite_rollout_tiny_20260421_024757/nominal_eval/terminal_error_boxplots.png,113571,0,0,keep,not under rollout_benchmark/
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_bu_only_seed42/rollout_benchmark/resampled_traj30_seed42_20260405_033452/diagnostic_plots/rollout_failure_OU_seed200046.png,478235,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_bu_only_seed42/rollout_benchmark/resampled_traj30_seed42_20260405_033452/diagnostic_plots/rollout_failure_OU_seed200067.png,504370,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_bu_only_seed42/rollout_benchmark/resampled_traj30_seed42_20260405_033452/diagnostic_plots/rollout_failure_PRBS_seed42.png,450984,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_bu_only_seed42/rollout_benchmark/resampled_traj30_seed42_20260405_033452/diagnostic_plots/rollout_failure_PRBS_seed65.png,478101,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_bu_only_seed42/rollout_benchmark/resampled_traj30_seed42_20260405_033452/diagnostic_plots/rollout_failure_PRBS_seed71.png,501513,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_bu_only_seed42/rollout_benchmark/resampled_traj30_seed42_20260405_033452/diagnostic_plots/velocity_violation_PRBS_seed55.png,480383,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_bu_only_seed42/rollout_benchmark/resampled_traj30_seed42_20260405_033452/error_growth.png,580973,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_bu_only_seed42/rollout_benchmark/resampled_traj30_seed42_20260405_033452/example_rollouts.png,804658,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_bu_only_seed42/rollout_benchmark/resampled_traj30_seed42_20260405_033452/terminal_error_boxplots.png,95084,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_bu_only_seed43/rollout_benchmark/resampled_traj30_seed42_20260405_033737/diagnostic_plots/high_terminal_error_PRBS_seed66.png,494926,1,0,purge,regenerable from the CSV/JSON beside it
